62 1001
Mike Poellot
University of North Dakota
UND Citation II (N555DS)
MC3E 2011
1 1
2011 06 01 2013 07 18
      1.0000
Time [second]; UT seconds from midnight on day aircraft flight started
44
      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000   1.0000000   1.0000000   1.0000000      1.0000   1.0000000    1.000000     1.00000     1.00000   1.0000000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000    1.000000    1.000000    1.000000    1.000000    1.000000    1.000000    1.000000    1.000000    1.000000           1      1.0000           1
 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 9999.999999 9999.999999 9999.999999 9999.999999 9999.999999 9999.999999 9999.999999 9999.999999 9999.999999 99999999999 999999.9999      999999
Air Temperature Corrected for Dynamic Heating (Based first on the main temperatue/pitot instrument and secondarly based on the backup temperature/pitot instrument) [degC]
Mach Number (Based first on the main temperatue/pitot instrument and secondarly based on the backup temperature/pitot instrument)
Indicated Air Speed (Based first on the main pitot instrument and secondarly based on the backup pitot instrument) [m/s]
True Air Speed (Based first on the main temperatue/pitot instrument and secondarly based on the backup temperature/pitot instrument) [m/s]
Pressure Altitude [m]
Potential Temperature (Based first on the main temperatue/pitot instrument and secondarly based on the backup temperature/pitot instrument) [degK]
Pitot Pressure from Wing Probe [hPa] {Calibration:  slope = 60.797701 offset = -150.48263}
Aircraft Cabin Pressure [millibar]
Static Pressure [hPa] {Calibration:  slope = 207.08000 offset = -0.71000000}
Dewpoint Temperature from EG&G Probe [degC] {Calibration:  slope = 20.000000 offset = -70.000000}
Mixing Ratio by weight from the Laser Hygrometer [ppmw]
Dew Point Temperature from the Laser Hygrometer [degrees Celsius]
Frost Point Temperature from the Laser Hygrometer [degrees Celsius]
Aircraft Roll Angle from the Applanix POS System [degrees]
Aircraft Pitch Angle from the Applanix POS System [degrees]
Aircraft Heading Angle [degrees]; 0-360 with 0 being North
Aircraft Z-direction (Vertical) Acceleration for the Applanix POS system [m/s^2]
Aircraft Latitude from the Applanix POS System [degrees]
Aircraft Longitude from the Applanix POS system [degrees]
Aircraft Altitude from the Applanix POS system [m]
Aircraft Speed from the Applanix POS system [m/s]
Aircraft Track Angle [degrees]; 0-360 with 0 being North
Alpha (Attack) Angle [degrees] {Calibration:  slope = 0.070310700 offset = 0.33308870}
Beta (Sideslip) Angle [degrees] {Calibration:  slope = -0.073846080 offset = -1.6202790}
Vertical Velocity of the aircraft based on the change in position over a 2 seceond interval [m/s]
Z (Vertical) Component of the Wind Speed [m/s]
Horizontal Wind Speed [m/s]
Horizontal Wind Direction [degrees]; True Direction From Which it Blows
Turbulence parameter (Eddy Dissipation Rate) based on Wing Pitot pressure [cm^2/3*s^-1]
Liquid Water Content based on King Probe measurement adjusted (cloud threshold =  5.1 [#/cm^3], cloud interval = 30.0 [s] and adjustment slope = 0.500) for the baseline offset [g/m^3]
Total Water Content based on the Nevzorov Probe measurement
Liquid Water Content based on the Nevzorov Probe measurement with correction for  residual ice (beta = 0.110000) [g/m^3]
Number Concentration of Droplets Based on the Cloud Droplet Probe [#/cc]
Liquid Water Content Based on the Cloud Droplet Probe [g/m^3]
Cloud Droplet Probe's Mean Droplet Diameter [um]
Cloud Droplet Probe's Mean Droplet Volume Diameter [um]
Cloud Droplet Probe's Effective Droplet Radius [um]
Number concentration of droplets based on the 2-DC Probe measurements [#/cm^3]
Mean droplet diameter based on the 2-DC Probe measurements [um]
Mean droplet volume diameter based on the 2-DC Probe measurements [um]
Effective droplet radius based on the 2-DC Probe measurements [um]
The current Sensor (MSO) frequency from the Icing Detector [Hz]
Total Concentration from CPC [#/cm^3]
Date Stamp based on data file name (Example: 941119 is 19 November 1994) [stamp]
0
4
Preliminary Data (Average is missing value code only if all values within the time period are missing value code.)
1 Hz Data
 Time        Air_Temp    MachNo_N    IAS         TAS         Press_Alt   Pot_Temp_T1 Pitot_Wing  CABIN_PRES  STATIC_PR   DEWPT       MixingRatio DewPoint    FrostPoint  POS_Roll    POS_Pitch   POS_Head    POSZ_Acc    POS_Lat     POS_Lon     POS_Alt     POS_Spd     POS_Trk     Alpha       Beta        VERT_VEL    Wind_Z      Wind_M      Wind_D      TURB        King_LWC_ad Nev_TWC     Nev_LWCcor  CDP_Conc    CDP_LWC     CDP_MenD    CDP_VolDia  CDP_EffRad  2-DC_Conc   2-DC_MenD   2-DC_VolDia 2-DC_EffRad IceMSOFreq  CPCConc     TSG_Date   
 second      degC        None        m/s         m/s         m           decK        hPa         hPa         hPa         degC        ppmw        C           C           degrees     degrees     degrees     MPsec2      degrees     degrees     m           MPsec       degrees     degrees     degrees     MPsec       MPsec       MPsec       degrees     cm^2/3*s^-1 g/m^3       g/m^3       g/m^3       #/cm^3      g/m^3       um          um          um          #/cm^3      um          um          um          Hz          #/cm^3      stamp      
  58830.2000     29.4598      0.0411     13.7961     14.3438    238.6182    303.9305      1.4556    989.0656    984.8816 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990 999999.9999      110601
  58831.2000     29.4721      0.0420     14.1060     14.6663    238.6182    303.9429      1.4374    989.0808    984.8816 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    1.752001    0.000018    2.527200    3.093995    1.271809    0.000000 9999.999999 9999.999999 9999.999999       39990 999999.9999      110601
  58832.2000     29.4727      0.0425     14.2672     14.8338    238.3923    303.9411      1.4426    989.0522    984.9081 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980 999999.9999      110601
  58833.2000     29.4701      0.0429     14.4018     14.9735    238.3063    303.9376      1.4452    989.0471    984.9182 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990 999999.9999      110601
  58834.2000     29.4776      0.0428     14.3642     14.9348    238.4784    303.9470      1.4571    989.1093    984.8980 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58835.2000     29.4862      0.0415     13.9297     14.4830    238.2632    303.9534      1.4604    989.0909    984.9233 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
  58836.2000     29.4871      0.0423     14.2017     14.7663    238.6934    303.9587      1.4363    989.0959    984.8727 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58837.2000     29.4958      0.0417     13.9725     14.5280    238.5644    303.9661      1.4504    989.0723    984.8879 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58838.2000     29.5082      0.0412     13.8050     14.3541    238.4891    303.9777      1.4537    989.0724    984.8968 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
