Time,Hour,Minute,Second,Air Temp [C],TAS [m/s],Pres Alt [m],.03mm,.05mm,.07mm,.09mm,.11mm,.13mm,.15mm,.17mm,.20mm,.24mm,.28mm,.32mm,.36mm,.40mm,.44mm,.48mm,.55mm,.65mm,.75mm,.85mm,.95mum,1.1mm,1.3mm,1.5mm,1.7mm,1.9mm,22.5mm,27.5mm
37620,10,27,0.16,5.4045,87.313,1344.8,2.90E+05,7.75E+05,6.44E+05,9.59E+05,5.46E+05,2.80E+05,1.56E+05,51800,0,8420,0,0,0,0,0,0,0,2950,0,0,0,0,0,0,0,0,0,0
37621,10,27,1.16,5.4068,87.351,1345.5,2.90E+05,3.96E+05,8.22E+05,7.10E+05,5.46E+05,3.67E+05,1.39E+05,69000,25600,0,8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37622,10,27,2.16,5.379,87.63,1345.9,2.53E+05,4.49E+05,6.59E+05,9.91E+05,7.20E+05,4.53E+05,2.77E+05,86000,17000,0,8280,0,8060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37623,10,27,3.16,5.3476,87.865,1346.5,1.98E+05,4.83E+05,7.64E+05,8.47E+05,8.58E+05,4.87E+05,2.42E+05,34300,8480,8370,0,0,8030,7930,7830,0,0,0,0,0,0,0,0,0,0,0,0,0
37624,10,27,4.16,5.3605,87.871,1347.6,3.25E+05,5.01E+05,6.04E+05,8.64E+05,9.11E+05,7.83E+05,3.97E+05,1.03E+05,42400,0,0,8140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37625,10,27,5.16,5.3933,87.897,1348,3.25E+05,6.26E+05,5.86E+05,8.29E+05,8.93E+05,6.08E+05,3.80E+05,1.20E+05,50900,0,0,0,0,7930,7820,7730,3020,0,2850,0,0,0,1230,0,0,0,0,0
37626,10,27,6.16,5.3878,88.113,1348.7,1.80E+05,4.82E+05,5.32E+05,7.04E+05,7.86E+05,8.50E+05,2.76E+05,1.71E+05,8460,16700,8230,0,0,0,0,0,3020,0,0,0,0,0,0,0,0,0,0,0
37627,10,27,7.16,5.3857,88.189,1348.8,4.13E+05,6.42E+05,5.67E+05,9.49E+05,8.55E+05,5.89E+05,5.16E+05,2.22E+05,50700,16700,8220,16200,8010,7900,0,0,3010,0,0,0,0,0,0,0,0,0,0,0
37628,10,27,8.16,5.3388,88.564,1349.6,2.51E+05,4.09E+05,8.99E+05,8.05E+05,7.99E+05,8.63E+05,3.43E+05,2.04E+05,58900,8300,16400,0,15900,7870,7770,7670,0,0,0,0,0,0,0,0,0,0,0,0
37629,10,27,9.16,5.3333,88.424,1349.9,2.51E+05,5.16E+05,7.95E+05,7.36E+05,9.40E+05,8.64E+05,5.32E+05,2.04E+05,75900,0,16400,8090,7980,0,0,7680,3000,0,0,0,0,0,0,0,0,0,0,0
