Date,Time,Hour,Minute,Second,Air Temp [C],TAS [m/s],Pres Alt [m],.03mm,.05mm,.07mm,.09mm, .11mm,.13mm,.15mm,.17mm,.20mm,.24mm,.28mm,.32mm,.36mm,.40mm,.44mm,.48mm,.55mm,.65mm,.75mm,.85mm,.95mum,1.1mm,1.3mm,1.5mm,.7mm,1.9mm,22.5mm,27.5mm
422,81216,22,33,36.04,25.684,63.105,386.74,0,0,0,24600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
422,81217,22,33,37.04,25.753,63.134,383.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0
422,81263,22,34,23.04,20.957,91.406,749.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0
422,89360,24,49,20.04,15.395,116.04,1884.4,81900,1.63e+05,13500,40100,1.33e+05,39500,78500,77900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0
422,89364,24,49,24.04,15.174,118.38,1858.6,1.74e+05,2.13e+05,52800,78600,1.43e+05,0,12800,38200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
422,89365,24,49,25.04,15.238,117.92,1852.3,1.48e+05,2.8e+05,66200,92000,1.17e+05,51800,51500,63900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,794,295,0
422,89369,24,49,29.04,15.094,117.92,1827.5,40300,2e+05,13200,39400,91400,13000,0,25600,6320,0,0,6070,0,0,0,0,0,0,0,0,0,0,0,0,0,794,0,0
422,89370,24,49,30.04,15.134,117.51,1821.8,1.35e+05,1.07e+05,39900,39600,1.05e+05,26000,25800,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,0
422,89394,24,49,54.04,16.708,113.26,1683.4,1.26e+05,1.94e+05,1.38e+05,68400,95100,13500,40200,66500,0,0,0,6320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0
422,89401,24,50,1.04,17.023,112.88,1639.8,2.53e+05,3.62e+05,1.11e+05,82400,1.5e+05,27100,40300,26700,6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0
